value,label
904,ADORA3
905,RAP1A
906,INKA2
907,DDX20
908,KCND3
909,CTTNBP2NL
910,WNT2B
911,ST7L
912,MOV10
913,PPM1J
914,TAFA3
915,SLC16A1
916,LRIG2
917,MAGI3
918,PHTF1
919,RSBN1
920,PTPN22
921,BCL2L15
922,AP4B1
923,DCLRE1B
924,HIPK1
925,OLFML3
926,SYT6
927,TRIM33
928,DENND2C
929,AMPD1
930,NRAS
931,CSDE1
932,SIKE1
933,SYCP1
934,TSHB
935,TSPAN2
936,NGF
937,VANGL1
938,CASQ2
939,NHLH2
940,SLC22A15
941,MAB21L3
942,ATP1A1
943,CD58
944,IGSF3
945,CD2
946,PTGFRN
947,CD101
948,TTF2
949,TRIM45
950,MAN1A2
951,TENT5C
952,GDAP2
953,WDR3
954,SPAG17
955,TBX15
956,WARS2
957,HAO2
958,HSD3B1
959,ZNF697
960,PHGDH
961,HMGCS2
962,REG4
963,ADAM30
964,NOTCH2
965,SEC22B
966,FCGR1B
967,NBPF20
968,PDZK1
969,CD160
970,RNF115
971,POLR3C
972,NUDT17
973,PIAS3
974,ANKRD35
975,ITGA10
976,PEX11B
977,RBM8A
978,LIX1L
979,ANKRD34A
980,POLR3GL
981,TXNIP
982,HJV
983,PRKAB2
984,FMO5
985,BCL9
986,ACP6
987,GJA5
988,GJA8
989,GPR89B
990,PDE4DIP
991,NBPF19
992,FCGR1A
993,HIST2H2BE
994,HIST2H2AB
995,BOLA1
996,SV2A
997,SF3B4
998,MTMR11
999,OTUD7B
1000,VPS45
1001,PLEKHO1
1002,ANP32E
1003,CA14
1004,APH1A
1005,C1orf54
1006,CIART
1007,PRPF3
1008,RPRD2
1009,TARS2
1010,ECM1
1011,ADAMTSL4
1012,MCL1
1013,GOLPH3L
1014,HORMAD1
1015,CTSS
1016,CTSK
1017,ARNT
1018,CTXND2
1019,SETDB1
1020,CERS2
1021,ANXA9
1022,MINDY1
1023,PRUNE1
1024,BNIPL
1025,C1orf56
1026,CDC42SE1
1027,MLLT11
1028,GABPB2
1029,SEMA6C
1030,TNFAIP8L2
1031,SCNM1
1032,LYSMD1
1033,VPS72
1034,PIP5K1A
