"X","Y"
11215,17328
15762,21385
10701,6884
14236,8622
10461,20665
10707,12977
7684,19652
10706,12396
19792,12388
11462,11090
15753,11521
13228,10073
7675,10078
18788,18191
11212,13846
19293,18191
14236,8332
13229,11814
14235,7751
14235,7461
9700,15879
13740,18196
12477,17472
8437,14864
20800,10647
10962,16893
14488,7896
17269,12681
8690,16170
16514,15437
8944,17765
15000,16019
19285,10068
17528,20368
8689,15299
16768,17033
14992,7025
15249,11812
18780,9778
16257,10941
11465,14862
10452,11091
20805,16159
9194,15299
6668,12980
6670,14721
14491,11378
17012,8184
14243,16165
16769,18193
15003,18920
20300,15579
19795,15289
8938,11092
13232,14715
19284,8907
19289,14709
9703,19940
13480,10218
7172,11819
8689,15009
9451,20666
19291,16740
18274,8038
12981,15731
10957,11091
16262,16453
9196,17620
17276,20513
14745,13553
13484,13989
10709,16168
16001,6734
10200,10656
16512,13116
18787,17031
14235,6881
8435,12543
9441,9061
15257,20805
5658,11821
7428,15736
8185,15590
15507,18049
20803,14128
6924,16606
13982,6736
15760,19644
5660,15012
5407,13707
16767,15872
12975,9348
10197,7465
16262,15873
9445,13123
12720,7173
18536,18336
13231,13555
12225,17617
12471,9929
10962,16603
